president,speech_label,matched_title,document_date,document_type,block_idx,block_size,sentence_start,sentence_end,text,n_sentences,n_words,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,care_sent,fairness_sent,loyalty_sent,authority_sent,sanctity_sent,moral_nonmoral_ratio,f_var,sent_var,moral_vector_R5,cosine_gonye,cosine_pergel,cosine_yasa,cosine_gpy_sum_vector,delta_vector_discriminant
Millard Fillmore,Longest Special Message 1850,Special Message,1850-08-06,Written,0,2,0,1,"To the Senate and House of Representatives: I herewith transmit to the two Houses of Congress a letter from his excellency the governor of Texas, dated on the 14th day of June last, addressed to the late President of the United States, which, not having been answered by him, came to my hands on his death; and I also transmit a copy of the answer which I have felt it to be my duty to cause to be made to that communication.Congress will perceive that the governor of Texas officially states that by authority of the legislature of that State he dispatched a special commissioner with full power and instructions to extend the civil jurisdiction of the State over the unorganized counties of El Paso, Worth, Presidio, and Santa Fe, situated on its northwestern limits.He proceeds to say that the commissioner had reported to him in an official form that the military officers employed in the service of the United States stationed at Santa Fe interposed adversely with the inhabitants to the fulfillment of his object in favor of the establishment of a separate State government east of the Rio Grande, and within the rightful limits of the State of Texas. These four counties, which Texas thus proposes to establish and organize as being within her own jurisdiction, extend over the whole of the territory east of the Rio Grande, which has heretofore been regarded as an essential and integral part of the department of New Mexico, and actually governed and possessed by her people until conquered and severed from the Republic of Mexico by the American arms.The legislature of Texas has been called together by her governor for the purpose, as is understood, of maintaining her claim to the territory east of the Rio Grande and of establishing over it her own jurisdiction and her own laws by force.These proceedings of Texas may well arrest the attention of all branches of the Government of the United States, and I rejoice that they occur while the Congress is yet in session.",2,341,0.08638573364685338,0.09221064226156592,0.0861183547354215,0.1031632287588265,0.0655423767506267,-0.11152851903008558,-0.03812190289615635,-0.01224090114467777,-0.03466582442769775,-0.01990889875990042,1.056338028169014,0.0001873714765379155,0.00156707587370672,"[0.08638573364685338, 0.09221064226156592, 0.0861183547354215, 0.1031632287588265, 0.0655423767506267]",0.7725547198500626,0.8442220236498946,0.7911447121576479,0.9804641923226927,0.0005097982952595934
Millard Fillmore,Longest Special Message 1850,Special Message,1850-08-06,Written,1,2,2,3,"It is, I fear, far from being impossible that, in consequence of these proceedings of Texas, a crisis may be brought on which shall summon the two Houses of Congress, and still more emphatically the executive government, to an immediate readiness for the performance of their respective duties.By the Constitution of the United States the President is constituted Commander in Chief of the Army and Navy, and of the militia of the several States when called into the actual service of the United States. The Constitution declares also that he shall take care that the laws be faithfully executed and that he shall from time to time give to the Congress information of the state of the Union.Congress has power by the Constitution to provide for calling forth the militia to execute the laws of the Union, and suitable and appropriate acts of Congress have been passed as well for providing for calling forth the militia as for placing other suitable and efficient means in the hands of the President to enable him to discharge the constitutional functions of his office.The second section of the act of the 28th of February, 1795, declares that whenever the laws of the United States shall be opposed or their execution obstructed in any State by combinations too powerful to be suppressed by the ordinary course of judicial proceedings or the power vested in the marshals, the President may call forth the militia, as far as may be necessary, to suppress such combinations and to cause the laws to be duly executed.By the act of March 3, 1807, it is provided that in all cases of obstruction to the laws either of the United States or any individual State or Territory, where it is lawful for the President to call forth the militia for the purpose of causing the laws to be duly executed, it shall be lawful for him to employ for the same purposes such part of the land or naval force of the United States as shall be judged necessary.These several enactments are now in full force, so that if the laws of the United States are opposed or obstructed in any State or Territory by combinations too powerful to be suppressed by the judicial or civil authorities it becomes a case in which it is the duty of the President either to call out the militia or to employ the military and naval force of the United States, or to do both if in his judgment the exigency of the occasion shall so require, for the purpose of suppressing such combinations.",2,431,0.09730080821345154,0.10059336362513592,0.08090068856243426,0.11426163738140735,0.07408045468544112,-0.12576747809185967,-0.05577055298773309,-0.015450851945483218,-0.03600032234585199,-0.0071658007572199785,1.8709677419354838,0.0002579106413934391,0.0022447571169501145,"[0.09730080821345154, 0.10059336362513592, 0.08090068856243426, 0.11426163738140735, 0.07408045468544112]",0.7842658449350703,0.8509074592058927,0.7749228625117863,0.9813844615617361,0.0012773616016179025
Millard Fillmore,Longest Special Message 1850,Special Message,1850-08-06,Written,2,2,4,5,"The constitutional duty of the President is plain and peremptory and the authority vested in him by law for its performance clear and ample.Texas is a State, authorized to maintain her own laws so far as they are not repugnant to the Constitution, laws, and treaties of the United States; to suppress insurrections against her authority, and to punish those who may commit treason against the State according to the forms provided by her own constitution and her own laws.But all this power is local and confined entirely within the limits of Texas herself. She can possibly confer no authority which can be lawfully exercised beyond her own boundaries.All this is plain, and hardly needs argument or elucidation.",2,118,0.08814870922809871,0.12037589254979605,0.09667023405271864,0.13175439937774802,0.08270310131337441,-0.0737388801797669,-0.05544866411685659,-0.020125407756139704,-0.01105979104442664,-0.027430097487963847,1.8888888888888888,0.00044924978732221625,0.0006844391699089846,"[0.08814870922809871, 0.12037589254979605, 0.09667023405271864, 0.13175439937774802, 0.08270310131337441]",0.739037886343064,0.8822412267698487,0.795824993165327,0.9844066016172631,0.005877783148684659
Millard Fillmore,Longest Special Message 1850,Special Message,1850-08-06,Written,3,2,6,7,"If Texas militia, therefore, march into any one of the other States or into any Territory of the United States, there to execute or enforce any law of Texas, they become at that moment trespassers; they are no longer under the protection of any lawful authority, and are to be regarded merely as intruders; and if within such State or Territory they obstruct any law of the United States, either by power of arms or mere power of numbers, constituting such a combination as is too powerful to be suppressed by the civil authority, the President of the United States has no option left to him, but is bound to obey the solemn injunction of the Constitution and exercise the high powers vested in him by that instrument and by the acts of Congress.Or if any civil posse, armed or unarmed, enter into any Territory of the United States, under the protection of the laws thereof, with intent to seize individuals, to be carried elsewhere for trial for alleged offenses, and this posse be too powerful to be resisted by the local civil authorities, such seizure or attempt to seize is to be prevented or resisted by the authority of the United States.The grave and important question now arises whether there be in the Territory of New Mexico any existing law of the United States opposition to which or the obstruction of which would constitute a case calling for the interposition of the authority vested in the President.The Constitution of the United States declares that--This Constitution, and the laws of the United States which shall be made in pursuance thereof, and all treaties made, or which shall be made, under the authority of the United States. shall be the supreme law of the land.If, therefore, New Mexico be a Territory of the United States, and if any treaty stipulation be in force therein, such treaty stipulation is the supreme law of the land, and is to be maintained and upheld accordingly.In the letter to the governor of Texas my reasons are given for believing that New Mexico is now a Territory of the United States, with the same extent and the same boundaries which belonged to it while in the actual possession of the Republic of Mexico, and before the late war. In the early part of that war both California and New Mexico were conquered by the arms of the United States, and were in the military possession of the United States at the date of the treaty of peace.By that treaty the title by conquest was confirmed and these territories, provinces, or departments separated from Mexico forever, and by the same treaty certain important rights and securities were solemnly guaranteed to the inhabitants residing therein.By the fifth article of the treaty it is declared that--The boundary line between the two Republics shall commence in the Gulf of Mexico 3 leagues from land, opposite the mouth of the Rio Grande, otherwise called Rio Bravo del Norte, or opposite the mouth of its deepest branch if it should have more than one branch emptying directly into the sea; from thence up the middle of that river, following the deepest channel where it has more than one, to the point where it strikes the southern boundary of New Mexico; thence westwardly, along the whole southern boundary of New Mexico (which runs north of the town called Paso) to its western termination; thence northward along the western line of New Mexico until it intersects the first branch of the river Gila (or, if it should not intersect any branch of that river, then to the point on the said line nearest to such branch, and thence in a direct line to the same); thence down the middle of the said branch and of the said river until it empties into the Rio Colorado; thence across the Rio Colorado, following the division line between Upper and Lower California to the Pacific Ocean.The eighth article of the treaty is in the following terms:Mexicans now established in territories previously belonging to Mexico, and which remain for the future within the limits of the United States as defined by the present treaty, shall be free to continue where they now reside or to remove at any time to the Mexican Republic, retaining the property which they possess in the said territories, or disposing thereof and removing the proceeds wherever they please without their being subjected on this account to any contribution, tax, or charge whatever.Those who shall prefer to remain in the said territories may either retain the title and rights of Mexican citizens or acquire those of citizens of the United States; but they shall be under the obligation to make their election within one year from the date of the exchange of ratifications of this treaty; and those who shall remain in the said territories after the expiration of that year without having declared their intention to retain the character of Mexicans shall be considered to have elected to become citizens of the United States.In the said territories property of every kind now belonging to Mexicans not established there shall be inviolably respected.",2,859,0.08200459538564674,0.09589960876325443,0.0890480785395972,0.10548245652910675,0.06603705875259558,-0.09873480317702098,-0.020763475162201186,0.00021982497884275918,-0.0035366921462060144,0.006964046051616218,1.6408450704225352,0.00022174678949193197,0.0018891105654996938,"[0.08200459538564674, 0.09589960876325443, 0.0890480785395972, 0.10548245652910675, 0.06603705875259558]",0.7590175542330048,0.8549702108785471,0.7971024181838059,0.9818107318421089,0.0015203441123896842
Millard Fillmore,Longest Special Message 1850,Special Message,1850-08-06,Written,4,2,8,9,"The present owners, the heirs of these, and all Mexicans who may hereafter acquire said property by contract shall enjoy with respect to it guaranties equally ample as if the same belonged to citizens of the United States.The ninth article of the treaty is in these words:The Mexicans who, in the territories aforesaid, shall not preserve the character of citizens of the Mexican Republic, conformably with what is stipulated in the preceding article, shall be incorporated into the Union of the United States and be admitted at the proper time (to be judged of by the Congress of the United States) to the enjoyment of all the rights of citizens of the United States according to the principles of the Constitution, and in the meantime shall be maintained and protected in the free enjoyment of their liberty and property and secured in the free exercise of their religion without restriction.It is plain, therefore, on the face of these treaty stipulations that all Mexicans established in territories north or east of the line of demarcation already mentioned come within the protection of the ninth article, and that the treaty, being a part of the supreme law of the land, does extend over all such Mexicans, and assures to them perfect security in the free enjoyment of their liberty and property, as well as in the free exercise of their religion; and this supreme law of the land, being thus in actual force over this territory, is to be maintained until it shall be displaced or superseded by other legal provisions; and if it be obstructed or resisted by combinations too powerful to be suppressed by the civil authority the case is one which comes within the provisions of law and which obliges the President to enforce those provisions. Neither the Constitution nor the laws nor my duty nor my oath of office leave me any alternative or any choice in my mode of action.The executive government of the United States has no power or authority to determine what was the true line of boundary between Mexico and the United States before the treaty of Guadalupe Hidalgo, nor has it any such power now, since the question has become a question between the State of Texas and the United States.",2,378,0.09160764230943276,0.11323306896960769,0.09181178631077459,0.10894703287003304,0.08026903670104496,0.008307018208546008,0.03725164177410168,0.047720043585997116,0.07884928310756602,0.07659592992206708,1.9259259259259258,0.00018550336411153997,0.0008613306289596158,"[0.09160764230943276, 0.11323306896960769, 0.09181178631077459, 0.10894703287003304, 0.08026903670104496]",0.7703561552801587,0.8601841142287429,0.7659455581272255,0.9759247179604581,0.0031033901049853096
Millard Fillmore,Longest Special Message 1850,Special Message,1850-08-06,Written,5,2,10,11,"So far as this boundary is doubtful, that doubt can only be removed by some act of Congress, to which the assent of the State of Texas may be necessary, or by some appropriate mode of legal adjudication; but in the meantime, if disturbances or collisions arise or should be threatened, it is absolutely incumbent on the executive government, however painful the duty, to take care that the laws be faithfully maintained; and he can regard only the actual state of things as it existed at the date of the treaty, and is bound to protect all inhabitants who were then established and who now remain north and east of the line of demarcation in the full enjoyment of their liberty and property, according to the provisions of the ninth article of the treaty. In other words, all must be now regarded as New Mexico which was possessed and occupied as New Mexico by citizens of Mexico at the date of the treaty until a definite line of boundary shall be established by competent authority.This assertion of duty to protect the people of New Mexico from threatened violence, or from seizure to be carried into Texas for trial for alleged offenses against Texan laws, does not at all include any claim of power on the part of the Executive to establish any civil or military government within that Territory.",2,229,0.11054063603160168,0.12579943999010612,0.1149648676432047,0.13307558389007357,0.09561733457292039,-0.08652611224428673,-0.05426283094574312,-0.028588406013475474,-0.03907744432176372,-0.003375268975998036,1.9393939393939394,0.00020848344806008212,0.0009531409750678148,"[0.11054063603160168, 0.12579943999010612, 0.1149648676432047, 0.13307558389007357, 0.09561733457292039]",0.7611481222686276,0.8452141691726466,0.7877751407938917,0.9748856117626241,0.001923611775179121
Millard Fillmore,Longest Special Message 1850,Special Message,1850-08-06,Written,6,2,12,13,"That power belongs exclusively to the legislative department, and Congress is the sole judge of the time and manner of creating or authorizing any such government.The duty of the Executive extends only to the execution of laws and the maintenance of treaties already in force and the protection of all the people of the United States in the enjoyment of the rights which those treaties and laws guarantee.It is exceedingly desirable that no occasion should arise for the exercise of the powers thus vested in the President by the Constitution and the laws. With whatever mildness those powers might be executed, or however clear the case of necessity, yet consequences might, nevertheless, follow of which no human sagacity can foresee either the evils or the end.Having thus laid before Congress the communication of his excellency the governor of Texas and the answer thereto, and having made such observations as I have thought the occasion called for respecting constitutional obligations which may arise in the further progress of things and may devolve on me to be performed, I hope I shall not be regarded as stepping aside from the line of my duty, notwithstanding that I am aware that the subject is now before both Houses, if I express my deep and earnest conviction of the importance of an immediate decision or arrangement or settlement of the question of boundary between Texas and the Territory of New Mexico.",2,237,0.10730357052285974,0.11513237049486193,0.09673789304091948,0.12618381930105282,0.07931953432176739,-0.04086498984975681,-0.01724701370465937,0.003209607678933352,-0.02168852249228473,-0.020931325894637993,1.475,0.00032111336411854124,0.0002460258112531821,"[0.10730357052285974, 0.11513237049486193, 0.09673789304091948, 0.12618381930105282, 0.07931953432176739]",0.7846764183621677,0.8531964774216112,0.776516802369265,0.9831372929122277,0.001729561151650738
Millard Fillmore,Longest Special Message 1850,Special Message,1850-08-06,Written,7,2,14,15,"All considerations of justice, general expediency, and domestic tranquillity call for this. It seems to be in its character and by position the first, or one of the first, of the questions growing out of the acquisition of California and New Mexico, and now requiring decision.No government can be established for New Mexico, either State or Territorial, until it shall be first ascertained what New Mexico is, and what are her limits and boundaries.",2,74,0.0646838857226663,0.10336043081271329,0.08929279835697289,0.08578259843038058,0.05360431930311105,-0.08798102623241288,-0.030482123411322105,0.005695360158104897,0.022217559781480913,0.013236780305083327,1.5454545454545454,0.00039866829930677926,0.002043904093948615,"[0.0646838857226663, 0.10336043081271329, 0.08929279835697289, 0.08578259843038058, 0.05360431930311105]",0.7537304592457839,0.8781136532146832,0.7594906739499798,0.9739426980712375,0.003837093432071975
Millard Fillmore,Longest Special Message 1850,Special Message,1850-08-06,Written,8,2,16,17,"These can not be fixed or known till the line of division between her and Texas shall be ascertained and established; and numerous and weighty reasons conspire, in my judgment, to show that this divisional line should be established by Congress with the assent of the government of Texas. In the first place, this seems by far the most prompt mode of proceeding by which the end can be accomplished.",2,70,0.10090470123548544,0.10643272334287597,0.09806116119326529,0.11117848490552773,0.07978391574468471,-0.09998551832410961,-0.09120287222185021,0.0017011891135803197,-0.06532686329439516,-0.08281964331151818,0.8666666666666667,0.00014423940332167022,0.001661337511462604,"[0.10090470123548544, 0.10643272334287597, 0.09806116119326529, 0.11117848490552773, 0.07978391574468471]",0.778876882062931,0.8352456846484547,0.7774334199743466,0.9737815962819896,0.00023556092756338992
Millard Fillmore,Longest Special Message 1850,Special Message,1850-08-06,Written,9,2,18,19,"If judicial proceedings were resorted to, such proceedings would necessarily be slow, and years would pass by, in all probability, before the controversy could be ended. So great a delay in this case is to be avoided if possible.",2,39,0.10780659896812259,0.11413336649440049,0.08790007468350751,0.08051151678712967,0.06485457892720559,-0.0657319783272283,0.026185780952380965,0.035423391364775556,-0.015911044973544973,-0.0574983333333333,1.6666666666666667,0.0004052016939972952,0.0021545441304872794,"[0.10780659896812259, 0.11413336649440049, 0.08790007468350751, 0.08051151678712967, 0.06485457892720559]",0.8509602953572429,0.8216059688211539,0.6773866386519674,0.9568478038003623,0.0006640764798231183
