president,speech_label,matched_title,document_date,document_type,block_idx,block_size,sentence_start,sentence_end,text,n_sentences,n_words,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,care_sent,fairness_sent,loyalty_sent,authority_sent,sanctity_sent,moral_nonmoral_ratio,f_var,sent_var,moral_vector_R5,cosine_gonye,cosine_pergel,cosine_yasa,cosine_gpy_sum_vector,delta_vector_discriminant,score_PC1,score_PC2,score_PC3,score_PC4,score_PC5,president_short
Millard Fillmore,First Annual Message,First Annual Message,1850-12-02,Written,0,2,0,1,"Fellow-Citizens of the Senate and of the House of Representatives: Being suddenly called in the midst of the last session of Congress by a painful dispensation of Divine Providence to the responsible station which I now hold, I contented myself with such communications to the Legislature as the exigency of the moment seemed to require. The country was shrouded in mourning for the loss of its venerable Chief Magistrate and all hearts were penetrated with grief.",2,76,0.099833293215692,0.0858938437855745,0.095194435849239,0.0927910403295626,0.0742189031925412,-0.1387484804184502,-0.0627831226777602,0.0160739176474125,-0.0266459223453909,-0.0714529992067711,1.3571428571428572,9.912838394479336e-05,0.0032964746346589,"[0.09983329321569209, 0.08589384378557459, 0.09519443584923909, 0.09279104032956265, 0.07421890319254128]",0.7860013821665416,0.7867977812267877,0.7766764168640192,0.9564501219224518,-0.003222415941731,-2.952117235498858,0.19296719992526246,-1.3343761328582944,6.747338345480472,9.756167142487287,Fillmore
Millard Fillmore,First Annual Message,First Annual Message,1850-12-02,Written,1,2,2,3,"Neither the time nor the occasion appeared to require or to justify on my part any general expression of political opinions or any announcement of the principles which would govern me in the discharge of the duties to the performance of which I had been so unexpectedly called. I trust, therefore, that it may not be deemed inappropriate if I avail myself of this opportunity of the reassembling of Congress to make known my sentiments in a general manner in regard to the policy which ought to be pursued by the Government both in its intercourse with foreign nations and its management and administration of internal affairs.Nations, like individuals in a state of nature, are equal and independent, possessing certain rights and owing certain duties to each other, arising from their necessary and unavoidable relations; which rights and duties there is no common human authority to protect and enforce.",2,149,0.1035349046158496,0.1187190032679634,0.092088043010208,0.1210232948397463,0.0938011461598732,-0.0361940110140104,0.0611231144217777,0.0074871752763035,0.0148986484567436,0.0096494070032878,2.764705882352941,0.0001839411822572,0.0011920482629936,"[0.10353490461584962, 0.1187190032679634, 0.09208804301020801, 0.1210232948397463, 0.09380114615987328]",0.7703837448430807,0.8527868313938711,0.7652451489815585,0.9726119949519492,0.0029865047926606,-1.9903111699802847,2.006152813730114,-1.9165744826379658,9.047969924286416,12.1470403917958,Fillmore
Millard Fillmore,First Annual Message,First Annual Message,1850-12-02,Written,2,2,4,5,"Still, they are rights and duties, binding in morals, in conscience, and in honor, although there is no tribunal to which an injured party can appeal but the disinterested judgment of mankind, and ultimately the arbitrament of the sword.Among the acknowledged rights of nations is that which each possesses of establishing that form of government which it may deem most conducive to the happiness and prosperity of its own citizens, of changing that form as circumstances may require, and of managing its internal affairs according to its own will. The people of the United States claim this right for themselves, and they readily concede it to others.",2,107,0.1156617987939312,0.1195729905613669,0.0894315564905118,0.1028913247737418,0.0984939970395816,-0.1102496103907151,-0.0059666358858979,0.0073251672020224,0.0112610384219549,-0.0709447528039112,1.6875,0.0001537439563724,0.0029301780371505,"[0.11566179879393122, 0.11957299056136693, 0.08943155649051186, 0.10289132477374181, 0.09849399703958166]",0.8036659739370389,0.8213365909501646,0.7178103449945372,0.9539532145481484,0.0008093483114799,-3.2623117757163307,2.7603249187966803,-2.0875713948305687,9.203369263313448,11.752953730559346,Fillmore
Millard Fillmore,First Annual Message,First Annual Message,1850-12-02,Written,3,2,6,7,"Hence it becomes an imperative duty not to interfere in the government or internal policy of other nations; and although we may sympathize with the unfortunate or the oppressed everywhere in their struggles for freedom, our principles forbid us from taking any part in such foreign contests. We make no wars to promote or to prevent successions to thrones, to maintain any theory of a balance of power, or to suppress the actual government which any country chooses to establish for itself.",2,82,0.1274757050690382,0.1332784222896111,0.1200142758308146,0.133679599231922,0.1189948058374802,-0.0526751797546066,0.0298680398695384,0.000580591515375,0.0022428655783235,-0.0615993788778323,2.2,4.9165108545584496e-05,0.0015338665470522,"[0.1274757050690382, 0.13327842228961118, 0.1200142758308146, 0.13367959923192202, 0.11899480583748029]",0.7659767760144447,0.8204413203658553,0.7687324934150962,0.9589459900264188,-5.497486284191527e-05,-3.800688384130977,1.9938871900134156,-2.4275794999960993,11.596766626042273,15.382776080428195,Fillmore
Millard Fillmore,First Annual Message,First Annual Message,1850-12-02,Written,4,2,8,9,"We instigate no revolutions, nor suffer any hostile military expeditions to be fitted out in the United States to invade the territory or provinces of a friendly nation. The great law of morality ought to have a national as well as a personal and individual application.",2,46,0.1197837660721719,0.1120723799663743,0.0935385850132667,0.1307916152724767,0.080492269032684,-0.0127308325107191,-0.0066128990542609,0.0087982149912582,0.0312110371982058,0.0756686213855444,1.4444444444444444,0.0004096251538405,0.0012817572098413,"[0.11978376607217191, 0.11207237996637438, 0.09353858501326674, 0.1307916152724767, 0.08049226903268408]",0.80127150330718,0.8377395659419049,0.7694239043028374,0.9806345318240244,-0.0002181010032123,-1.6937958231684842,1.481063946130806,-1.866531343208166,7.04143491589961,12.616227507745236,Fillmore
Millard Fillmore,First Annual Message,First Annual Message,1850-12-02,Written,5,2,10,11,"We should act toward other nations as we wish them to act toward us, and justice and conscience should form the rule of conduct between governments, instead of mere power, self interest, or the desire of aggrandizement. To maintain a strict neutrality in foreign wars, to cultivate friendly relations, to reciprocate every noble and generous act, and to perform punctually and scrupulously every treaty obligation--these are the duties which we owe to other states, and by the performance of which we best entitle ourselves to like treatment from them; or, if that, in any case, be refused, we can enforce our own rights with justice and a clear conscience.In our domestic policy the Constitution will be my guide, and in questions of doubt I shall look for its interpretation to the judicial decisions of that tribunal which was established to expound it and to the usage of the Government, sanctioned by the acquiescence of the country.",2,156,0.0949229650557689,0.1195289770696042,0.0942046592341441,0.1161380947365579,0.0932367806397704,-0.0918600870612698,0.0302561279502612,0.0384842340059201,0.0345124777158598,-0.0091024768426825,2.0454545454545454,0.000170473902747,0.0030269155676523,"[0.09492296505576898, 0.1195289770696042, 0.09420465923414413, 0.11613809473655798, 0.09323678063977041]",0.7567572991781352,0.8586366953765326,0.7677889012710852,0.9705261568094564,0.0039339156387897,-1.9878396602919417,1.822516896715015,-1.4977113440144088,9.299216794853644,11.796650189879948,Fillmore
Millard Fillmore,First Annual Message,First Annual Message,1850-12-02,Written,6,2,12,13,"I regard all its provisions as equally binding. In all its parts it is the will of the people expressed in the most solemn form, and the constituted authorities are but agents to carry that will into effect.",2,38,0.1270409022587031,0.1084121648709389,0.1193632775117199,0.1183490553661099,0.0774793182339692,-0.1114844370001656,-0.0786160946679987,-0.1004665522904442,-0.0112230999487207,-0.0651652228163992,3.6666666666666665,0.0003769507179152,0.0015360020739086,"[0.12704090225870315, 0.10841216487093894, 0.11936327751171998, 0.11834905536610997, 0.07747931823396924]",0.8048472353262758,0.7949836623958624,0.7723083594410362,0.9656798844258954,-0.0049281545748683,-3.270023290370615,0.1290371567610773,-0.6900344744009246,6.857278600897365,13.197772069334267,Fillmore
Millard Fillmore,First Annual Message,First Annual Message,1850-12-02,Written,7,2,14,15,"Every power which it has granted is to be exercised for the public good; but no pretense of utility, no honest conviction, even, of what might be expedient, can justify the assumption of any power not granted. The powers conferred upon the Government and their distribution to the several departments are as clearly expressed in that sacred instrument as the imperfection of human language will allow, and I deem it my first duty not to question its wisdom, add to its provisions, evade its requirements, or nullify its commands.Upon you, fellow-citizens, as the representatives of the States and the people, is wisely devolved the legislative power.",2,106,0.1096946391160691,0.1330850703279609,0.1098420818802155,0.1311989693610373,0.1078690405367565,-0.001132663676807,-0.0169097356981523,0.0698514559398963,0.0395149622973829,0.0032661369844057,2.066666666666667,0.0001598420101166,0.001237272091213,"[0.10969463911606915, 0.1330850703279609, 0.10984208188021553, 0.1311989693610373, 0.10786904053675654]",0.7553071559993159,0.8497308666799893,0.7720525101189392,0.9680058280393564,0.0038686680697408,-2.6347499139460697,1.9932215902093975,-1.7862582541452232,10.79182904988301,14.124134963438273,Fillmore
Millard Fillmore,First Annual Message,First Annual Message,1850-12-02,Written,8,2,16,17,"I shall comply with my duty in laying before you from time to time any information calculated to enable you to discharge your high and responsible trust for the benefit of our common constituents.My opinions will be frankly expressed upon the leading subjects of legislation; and if--which I do not anticipate--any act should pass the two Houses of Congress which should appear to me unconstitutional, or an encroachment on the just powers of other departments, or with provisions hastily adopted and likely to produce consequences injurious and unforeseen, I should not shrink from the duty of returning it to you, with my reasons, for your further consideration. Beyond the due performance of these constitutional obligations, both my respect for the Legislature and my sense of propriety will restrain me from any attempt to control or influence your proceedings.",2,138,0.1133651649609003,0.1309153509629933,0.1238655013155918,0.135512441374142,0.0937854688377666,0.0008677138363781,0.0207717396015382,0.0089586191546733,0.0550687534031483,0.0240370693098855,2.0,0.0002761597007823,0.0004289585809684,"[0.11336516496090036, 0.13091535096299337, 0.12386550131559183, 0.13551244137414206, 0.09378546883776662]",0.7632113891515381,0.8446938651214503,0.7880097461453714,0.9756027259794452,0.0018338556233328,-2.5327741476049104,0.8104215568444311,-0.6523919637296363,9.333410710604202,14.619914822280691,Fillmore
Millard Fillmore,First Annual Message,First Annual Message,1850-12-02,Written,9,2,18,19,"With you is the power, the honor, and the responsibility of the legislation of the country.The Government of the United States is a limited Government. It is confined to the exercise of powers expressly granted and such others as may be necessary for carrying those powers into effect; and it is at all times an especial duty to guard against any infringement on the just rights of the States.",2,69,0.1030058435577986,0.1183983192569515,0.1035030085924194,0.1345708188936127,0.0933359239385197,-0.0346419439942947,-0.0194609708817536,0.0233722080373104,0.0147497915206192,0.0335196877112659,5.5,0.0002603734593615,0.0008511644716636,"[0.1030058435577986, 0.11839831925695159, 0.10350300859241948, 0.13457081889361275, 0.09333592393851978]",0.7503450798086757,0.8538093128648608,0.7970936898546563,0.9778165540197444,0.0027713118530548,-1.7183126170204939,1.1669803036066788,-1.7452303084917133,9.143002134636895,13.137482902303763,Fillmore
